（对接ShipTrack所使用的SCAC）,（贵司的海外仓代码，可自定义代码及编号）,（亚马逊FBA仓代码）,（贵司该海外仓与对应FBA仓的距离，单位为【英里miles】，只填数字且需为整数）
scac,warehouseId,fcId,distance
